Date,Open,High,Low,Close,Adj Close,Volume,R3,S3
01-02-2023,10586,10626,10268,10280,10069.39648,2072186,10378.45,10181.55
02-02-2023,10330,10342,10184.91797,10250,10040.01172,2173963,10293.19756,10206.80244
03-02-2023,10274,10578,10274,10578,10361.29199,1998719,10661.6,10494.4
06-02-2023,10454,10611.28613,10406,10580,10363.25098,4571397,10636.45369,10523.54631
07-02-2023,10566,10626,10540,10586,10369.12793,1392341,10609.65,10562.35
08-02-2023,10682,10844,10662,10752,10531.72754,2590923,10802.05,10701.95
09-02-2023,11042,11348,10878,11190,10960.75488,9530658,11319.25,11060.75
10-02-2023,11162,11392,11130,11390,11156.65625,5534265,11462.05,11317.95
13-02-2023,11376,11466,11296,11422,11188.00195,4321426,11468.75,11375.25
14-02-2023,11476,11600,11476,11518,11282.03516,1576817,11552.1,11483.9
15-02-2023,11528,11600.90039,11434,11568,11331.01074,3028574,11613.89761,11522.10239
16-02-2023,11560,11626,11296.90137,11362,11129.23047,1937907,11452.50212,11271.49788
17-02-2023,11316,11486,11316,11486,11250.69043,1809735,11532.75,11439.25
20-02-2023,11500,11566,11458,11540,11303.58398,902044,11569.7,11510.3
21-02-2023,11532,11680,11516,11570,11332.96973,4363971,11615.1,11524.9
22-02-2023,11594,11606,11440,11500,11264.40332,1708966,11545.65,11454.35
23-02-2023,11332,11386,11170,11210,11138.02051,1727667,11269.4,11150.6
24-02-2023,11192,11229.44043,11096,11100,11028.72656,1649984,11136.69612,11063.30388
27-02-2023,11036,11162,11030,11098,11026.73926,929834,11134.3,11061.7
28-02-2023,11060,11114,10827.09961,10880,10810.13965,2325200,10958.89761,10801.10239
01-03-2023,10874,10898,10786,10816,10746.54981,2258745,10846.8,10785.2
02-03-2023,10816,10864,10752,10864,10794.24219,1455371,10894.8,10833.2
03-03-2023,10848,10884,10784,10784,10714.75586,1621692,10811.5,10756.5
06-03-2023,10818,10818,10688,10742,10673.02539,1662736,10777.75,10706.25
07-03-2023,10738,10906,10724,10850,10780.33203,3187734,10900.05,10799.95
08-03-2023,10844,12828.45215,10788,10822,10752.51172,3574135,11383.12434,10260.87566
09-03-2023,10850,10946,10786,10866,10796.22949,3708991,10910,10822
10-03-2023,10798,10994,10590,10698,10629.30762,3024311,10809.1,10586.9
13-03-2023,10698,10860,10558,10686,10617.38477,3796358,10769.05,10602.95
14-03-2023,10702,10730,10574,10686,10617.38477,1699355,10728.9,10643.1
15-03-2023,10704,10798,10632,10644,10575.6543,3311202,10689.65,10598.35
16-03-2023,10680,10830,10640,10798,10728.66602,2264805,10850.25,10745.75
17-03-2023,10824,10922,10746,10814,10744.5625,5013166,10862.4,10765.6
20-03-2023,10762,10814,10654,10790,10720.7168,1411596,10834,10746
21-03-2023,10884,10932,10808,10904,10833.98535,1201315,10938.1,10869.9
22-03-2023,10884,10984,10762,10976,10905.52246,1294815,11037.05,10914.95
23-03-2023,10934,11024,10876,10998,10927.38184,1477887,11038.7,10957.3
24-03-2023,11006,11094,10953.42969,11080,11008.85547,1365404,11118.65684,11041.34316
27-03-2023,11130,11302,11123.25781,11252,11179.75098,1617043,11301.1541,11202.8459
28-03-2023,11228,11299.38965,11132.88574,11134,11062.50781,1779061,11179.78857,11088.21143
29-03-2023,11116,11202,11106,11166,11094.30273,1248968,11192.4,11139.6
30-03-2023,11162,11236,11096,11166,11094.30273,1224253,11204.5,11127.5
31-03-2023,11150,11328,11144,11232,11159.87891,1620239,11282.6,11181.4
03-04-2023,11260,11282,11172,11270,11197.63477,1660237,11300.25,11239.75
04-04-2023,11320,11356,11194,11244,11171.80176,1885935,11288.55,11199.45
05-04-2023,11244,11628,11230.79981,11594,11519.55469,2157931,11703.23005,11484.76995
06-04-2023,11620,11734.59961,11590,11700,11624.87402,1203186,11739.76489,11660.23511
11-04-2023,11738,11786,11574,11630,11555.32324,4498431,11688.3,11571.7
12-04-2023,11664,11872,11614,11822,11746.09082,3148358,11892.95,11751.05
